"voice","displayText","expectedText","issues","error","durationSeconds","rms","peak","activeRatio","firstActiveSeconds","lastActiveSeconds","trailingSilenceSeconds","lessons","relativePath"
"marin","a","a","","","1.248","0.03053705","0.20588379","0.202457","0.3384","0.6553","0.5927","125","marin/a-87428fc522803d31.mp3"
"cedar","a","a","","","1.656","0.04945551","0.55570078","0.208937","0.7459","1.1321","0.5239","125","cedar/a-87428fc522803d31.mp3"
"marin","a little","a little","","","1.104","0.0568917","0.43435526","0.344637","0.1343","0.5834","0.5206","129","marin/a-little-ba40ecbbeeca79ac.mp3"
"cedar","a little","a little","","","1.248","0.06657603","0.46763706","0.503589","0.0546","0.7817","0.4663","129","cedar/a-little-ba40ecbbeeca79ac.mp3"
"marin","a lot of","a lot of","","","2.016","0.05804735","0.39275965","0.346654","0.0548","1.2652","0.7508","128|129","marin/a-lot-of-caeee3cf22acda05.mp3"
"cedar","a lot of","a lot of","","","1.656","0.06828062","0.51078355","0.450571","0.0471","1.2062","0.4498","128|129","cedar/a-lot-of-caeee3cf22acda05.mp3"
"marin","a lot of / lots of","a lot of, or lots of","","","2.76","0.05695108","0.36953491","0.3629","0.649","2.2382","0.5217","","marin/a-lot-of-lots-of-9e6a03af67fb9ee1.mp3"
"cedar","a lot of / lots of","a lot of, or lots of","","","2.616","0.06132197","0.44823214","0.478346","0.0473","2.2053","0.4107","","cedar/a-lot-of-lots-of-9e6a03af67fb9ee1.mp3"
"marin","a.m.","a.m.","","","1.368","0.07317425","0.58090967","0.474293","0.1105","0.986","0.382","31","marin/a-m-0cdb352b9ee8df43.mp3"
"cedar","a.m.","a.m.","","","1.8","0.06250423","0.6731593","0.329884","0.1579","1.1133","0.6867","31","cedar/a-m-0cdb352b9ee8df43.mp3"
"marin","a pair of","a pair of","","","2.4","0.03944748","0.32829896","0.287135","0.0461","0.994","1.406","","marin/a-pair-of-a7b039bdd6d9034f.mp3"
"cedar","a pair of","a pair of","","","1.512","0.05570653","0.40004179","0.383667","0.0721","0.9169","0.5951","","cedar/a-pair-of-a7b039bdd6d9034f.mp3"
"marin","a piece of cake","a piece of cake","","","1.704","0.05648779","0.48731193","0.316926","0.057","0.9826","0.7214","","marin/a-piece-of-cake-c0ed9f50c2916e81.mp3"
"cedar","a piece of cake","a piece of cake","","","1.752","0.03667646","0.30916038","0.273604","0.3785","1.3341","0.4179","","cedar/a-piece-of-cake-c0ed9f50c2916e81.mp3"
"marin","a set of","a set of","","","1.416","0.0604524","0.32632187","0.483831","0.0583","1.1896","0.2264","","marin/a-set-of-95112f95d16a9be4.mp3"
"cedar","a set of","a set of","","","1.152","0.05428242","0.53683704","0.476942","0.0575","0.7817","0.3703","","cedar/a-set-of-95112f95d16a9be4.mp3"
"marin","able","able","","","1.368","0.05575961","0.42478225","0.263341","0.1604","0.5918","0.7762","16","marin/able-881d2d1ae582bdb3.mp3"
"cedar","able","able","","","2.208","0.03312273","0.41020572","0.154193","0.3892","0.83","1.378","16","cedar/able-881d2d1ae582bdb3.mp3"
"marin","about","about","","","2.064","0.03523389","0.46577749","0.153323","0.0611","0.5884","1.4756","132","marin/about-6505b068a611ccac.mp3"
"cedar","about","about","","","1.056","0.06787489","0.6756686","0.372929","0.0542","0.6629","0.3931","132","cedar/about-6505b068a611ccac.mp3"
"marin","above","above","","","1.608","0.06510229","0.53401333","0.32429","0.4791","1.1358","0.4722","130","marin/above-b7b492fc71761e37.mp3"
"cedar","above","above","","","1.2","0.05025288","0.45212018","0.276389","0.3069","0.7622","0.4377","130","cedar/above-b7b492fc71761e37.mp3"
"marin","abroad","abroad","","","1.248","0.07372842","0.43495196","0.501586","0.0559","0.7701","0.4779","","marin/abroad-032a4bafaa1aca87.mp3"
"cedar","abroad","abroad","","","1.248","0.05258994","0.51796329","0.309645","0.0549","0.5911","0.6569","","cedar/abroad-032a4bafaa1aca87.mp3"
"marin","absent","absent","","","1.104","0.0540436","0.38327992","0.443708","0.0605","0.7865","0.3175","75","marin/absent-7925d3e9a9613a09.mp3"
"cedar","absent","absent","","","0.96","0.05522184","0.77139002","0.322938","0.098","0.5417","0.4183","75","cedar/absent-7925d3e9a9613a09.mp3"
"marin","accept","accept","","","1.32","0.03910734","0.40962216","0.249763","0.3536","0.9719","0.3481","115","marin/accept-a7569daef68e7aa9.mp3"
"cedar","accept","accept","","","2.76","0.03431033","0.52684993","0.126412","1.7599","2.3562","0.4038","115","cedar/accept-a7569daef68e7aa9.mp3"
"marin","accident","accident","","","1.656","0.04671666","0.38174057","0.376321","0.0606","1.0305","0.6255","95","marin/accident-af76b143ca437195.mp3"
"cedar","accident","accident","","","1.8","0.04835067","0.69335431","0.292685","0.2338","0.9936","0.8064","95","cedar/accident-af76b143ca437195.mp3"
"marin","across","across","","","0.96","0.06345397","0.49845663","0.457747","0.0547","0.7031","0.2569","132","marin/across-712d606e22948cf9.mp3"
"cedar","across","across","","","1.248","0.05632334","0.55374295","0.369091","0.0582","0.7358","0.5122","132","cedar/across-712d606e22948cf9.mp3"
"marin","across from","across from","","","1.608","0.04790025","0.31719151","0.485437","0.046","1.3194","0.2886","","marin/across-from-37480432ebfc0225.mp3"
"cedar","across from","across from","","","1.32","0.06538974","0.57740933","0.445549","0.061","0.8853","0.4347","","cedar/across-from-37480432ebfc0225.mp3"
"marin","act","act","","","1.248","0.03188127","0.5353092","0.152711","0.0665","0.4553","0.7927","4","marin/act-4147b372ff856a30.mp3"
"cedar","act","act","","","1.56","0.03198566","0.54656214","0.132171","0.0523","0.473","1.087","4","cedar/act-4147b372ff856a30.mp3"
"marin","action","action","","","1.248","0.0428855","0.51730132","0.330278","0.0609","0.5915","0.6565","59","marin/action-c8d5009c6f5c64ea.mp3"
"cedar","action","action","","","1.464","0.03832461","0.69618797","0.234389","0.0705","0.5691","0.8949","59","cedar/action-c8d5009c6f5c64ea.mp3"
"marin","active","active","","","1.056","0.03762708","0.5174523","0.274365","0.0575","0.6361","0.4199","14","marin/active-45df5ad5e0ecfa54.mp3"
"cedar","active","active","","","1.248","0.04266101","0.65842527","0.229567","0.1576","0.7028","0.5452","14","cedar/active-45df5ad5e0ecfa54.mp3"
"marin","activity","activity","","","2.16","0.03799909","0.56051636","0.241946","0.0461","0.8049","1.3551","102","marin/activity-ea4fb47769f35d92.mp3"
"cedar","activity","activity","","","1.464","0.03952831","0.52390349","0.305029","0.1701","0.8583","0.6057","102","cedar/activity-ea4fb47769f35d92.mp3"
"marin","actor","actor","","","0.864","0.04395867","0.4784762","0.304109","0.064","0.5438","0.3202","4","marin/actor-3497a84f0d54995e.mp3"
"cedar","actor","actor","","","1.512","0.03164098","0.61729991","0.148024","0.1789","0.5752","0.9368","4","cedar/actor-3497a84f0d54995e.mp3"
"marin","actress","actress","","","2.304","0.03802309","0.60648412","0.199183","0.0575","0.7384","1.5656","4","marin/actress-c8986d685c845ed0.mp3"
"cedar","actress","actress","","","1.8","0.02769886","0.56899869","0.208484","0.7451","1.3047","0.4953","4","cedar/actress-c8986d685c845ed0.mp3"
"marin","actually","actually","","","0.96","0.05080746","0.65824002","0.408333","0.154","0.7025","0.2575","121","marin/actually-2390a473c13ac81e.mp3"
"cedar","actually","actually","","","0.912","0.04323263","0.62600452","0.414291","0.0605","0.6049","0.3071","121","cedar/actually-2390a473c13ac81e.mp3"
"marin","add","add","","","0.864","0.05305493","0.49710593","0.329186","0.0605","0.4325","0.4315","78","marin/add-87623ceab830648b.mp3"
"cedar","add","add","","","1.056","0.04537425","0.70932668","0.226326","0.1479","0.5452","0.5108","78","cedar/add-87623ceab830648b.mp3"
"marin","address","address. Address.","","","2.568","0.05779456","0.63943434","0.346516","0.152","1.7516","0.8164","83","marin/address-eb7017ac3d7db31b.mp3"
"cedar","address","address. Address.","","","2.352","0.04720719","0.63718081","0.378951","0.2105","2.0149","0.3371","83","cedar/address-eb7017ac3d7db31b.mp3"
"marin","adult","adult","","","1.008","0.05668843","0.37866613","0.361194","0.1849","0.7352","0.2728","1","marin/adult-e3999446583a7b06.mp3"
"cedar","adult","adult","","","1.104","0.07025438","0.67805725","0.235186","0.0611","0.4528","0.6512","1","cedar/adult-e3999446583a7b06.mp3"
"marin","advertisement","advertisement","","","1.512","0.04963034","0.50860387","0.453635","0.0561","0.9914","0.5206","9","marin/advertisement-7c530a9362be3fe2.mp3"
"cedar","advertisement","advertisement","","","1.56","0.04656527","0.48873258","0.390224","0.331","1.1193","0.4407","9","cedar/advertisement-7c530a9362be3fe2.mp3"
"marin","advice","advice","","","0.912","0.05518584","0.57456678","0.480651","0.051","0.6063","0.3057","66","marin/advice-a44cebcde6f72dbe.mp3"
"cedar","advice","advice","","","1.848","0.03371592","0.49851424","0.255265","0.2021","0.8771","0.9709","66","cedar/advice-a44cebcde6f72dbe.mp3"
"marin","advise","advise","","","1.512","0.04155219","0.39545283","0.383818","0.0538","0.8062","0.7058","66","marin/advise-7c36385f7d2b8796.mp3"
"cedar","advise","advise","","","1.056","0.05301653","0.44430435","0.402363","0.158","0.7331","0.3229","66","cedar/advise-7c36385f7d2b8796.mp3"
"marin","affect","affect","","","1.704","0.0402151","0.47926918","0.216072","0.0552","0.6962","1.0078","62","marin/affect-338615e632354d0f.mp3"
"cedar","affect","affect","","","2.016","0.02883219","0.52412862","0.108331","0.2578","0.7581","1.2579","62","cedar/affect-338615e632354d0f.mp3"
"marin","afraid","afraid","","","1.56","0.05148492","0.40720195","0.28133","0.344","0.918","0.642","14","marin/afraid-19d39e31f475cf22.mp3"
"cedar","afraid","afraid","","","1.512","0.04941274","0.48394084","0.348738","0.0526","0.7552","0.7568","14","cedar/afraid-19d39e31f475cf22.mp3"
"marin","after","after","","","0.864","0.0428427","0.52122355","0.30312","0.0556","0.4848","0.3792","131|133","marin/after-7b9a72466d3960eb.mp3"
"cedar","after","after","","","1.32","0.03940063","0.60295624","0.20161","0.2599","0.7063","0.6138","131|133","cedar/after-7b9a72466d3960eb.mp3"
"marin","after all","after all","","","2.256","0.06290858","0.5169304","0.347822","0.1047","1.3179","0.9381","","marin/after-all-c15501f479a4453c.mp3"
"cedar","after all","after all","","","1.656","0.06502532","0.73763973","0.381416","0.0985","1.1671","0.4889","","cedar/after-all-c15501f479a4453c.mp3"
"marin","after dark","after dark","","","1.608","0.05502232","0.59566438","0.334486","0.06","1.073","0.535","","marin/after-dark-3c4c4e560ee0c56e.mp3"
"cedar","after dark","after dark","","","1.752","0.05015129","0.49851024","0.312988","0.0578","1.2317","0.5203","","cedar/after-dark-3c4c4e560ee0c56e.mp3"
"marin","after school","after school","","","1.416","0.05949662","0.46188459","0.498382","0.0574","1.2149","0.2011","","marin/after-school-2422eded2404b17c.mp3"
"cedar","after school","after school","","","1.416","0.0605018","0.7567575","0.466852","0.0578","1.1565","0.2595","","cedar/after-school-2422eded2404b17c.mp3"
"marin","after work","after work","","","1.848","0.05340433","0.4448396","0.315037","0.064","1.1825","0.6655","","marin/after-work-dc86dc1e6ae5e0a2.mp3"
"cedar","after work","after work","","","1.416","0.05151624","0.62210608","0.308586","0.0611","0.7277","0.6883","","cedar/after-work-dc86dc1e6ae5e0a2.mp3"
"marin","afternoon","afternoon","","","1.152","0.05792144","0.52409863","0.457375","0.0542","0.7492","0.4028","31","marin/afternoon-d14fc3a4ea42ad2f.mp3"
"cedar","afternoon","afternoon","","","1.368","0.06057089","0.78141236","0.432733","0.0578","0.8985","0.4695","31","cedar/afternoon-d14fc3a4ea42ad2f.mp3"
"marin","again","again","","","0.912","0.0722069","0.57792705","0.386764","0.1032","0.5295","0.3825","120","marin/again-9252a75c942da16f.mp3"
"cedar","again","again","","","1.104","0.06382702","0.64165229","0.393078","0.0976","0.6405","0.4635","120","cedar/again-9252a75c942da16f.mp3"
"marin","against","against","","","1.512","0.0398072","0.47052935","0.262373","0.1619","0.7335","0.7785","130","marin/against-0814dacd9de4db7e.mp3"
"cedar","against","against","","","0.96","0.05206083","0.49987698","0.372504","0.0633","0.6385","0.3215","130","cedar/against-0814dacd9de4db7e.mp3"
"marin","age","age","","","0.912","0.06346357","0.38711262","0.449653","0.1522","0.6532","0.2588","17","marin/age-24bb0d625cd9d0a7.mp3"
"cedar","age","age","","","1.368","0.03484951","0.29161108","0.249239","0.4221","0.9188","0.4492","17","cedar/age-24bb0d625cd9d0a7.mp3"
"marin","ago","ago","","","1.248","0.06016985","0.60999042","0.289563","0.1547","0.5787","0.6693","34","marin/ago-b0c77b041eb79cc0.mp3"
"cedar","ago","ago","","","2.112","0.05023514","0.59174716","0.214745","0.1236","0.6919","1.4201","34","cedar/ago-b0c77b041eb79cc0.mp3"
"marin","agree","agree","","","0.864","0.06541578","0.37823701","0.374807","0.0605","0.4547","0.4093","115","marin/agree-cb639537d7abfedf.mp3"
"cedar","agree","agree","","","1.152","0.04048224","0.42871359","0.295953","0.1851","0.6919","0.4601","115","cedar/agree-cb639537d7abfedf.mp3"
"marin","agree with","agree with","","","1.8","0.06034713","0.41427729","0.375012","0.0498","1.2543","0.5457","","marin/agree-with-51c22455088753f9.mp3"
"cedar","agree with","agree with","","","1.92","0.0486087","0.37943274","0.333952","0.0548","0.9003","1.0197","","cedar/agree-with-51c22455088753f9.mp3"
"marin","ahead","ahead","","","1.368","0.03412071","0.4734619","0.258681","0.2569","0.7006","0.6674","120","marin/ahead-2c6ae7a63f2218c6.mp3"
"cedar","ahead","ahead","","","1.56","0.04117644","0.54656541","0.256157","0.0513","0.584","0.976","120","cedar/ahead-2c6ae7a63f2218c6.mp3"
"marin","ahead of","ahead of","","","1.416","0.05895947","0.40329188","0.48461","0.0667","1.0464","0.3696","","marin/ahead-of-fb2840b8a6d9d310.mp3"
"cedar","ahead of","ahead of","","","1.464","0.05255925","0.45258522","0.451972","0.152","1.0859","0.3781","","cedar/ahead-of-fb2840b8a6d9d310.mp3"
"marin","aim","aim","","","1.248","0.05047193","0.32855931","0.273888","0.0611","0.4456","0.8024","63","marin/aim-1d8c2191730e001a.mp3"
"cedar","aim","aim","","","1.512","0.04866417","0.54936033","0.238123","0.3644","0.7936","0.7184","63","cedar/aim-1d8c2191730e001a.mp3"
"marin","air","air","","","0.864","0.06992574","0.47136649","0.28506","0.0687","0.3859","0.4781","106","marin/air-939fba7ff04bc648.mp3"
"cedar","air","air","","","1.248","0.05026726","0.53290069","0.243907","0.1607","0.5603","0.6877","106","cedar/air-939fba7ff04bc648.mp3"
"marin","air conditioner","air conditioner","","","1.656","0.07878916","0.34481278","0.58434","0.056","1.3636","0.2924","69","marin/air-conditioner-03276c53c4214e5b.mp3"
"cedar","air conditioner","air conditioner","","","2.016","0.0615997","0.73761463","0.364966","0.0983","1.041","0.975","69","cedar/air-conditioner-03276c53c4214e5b.mp3"
"marin","airline","airline","","","1.32","0.06442627","0.48792523","0.362421","0.0583","0.5959","0.7241","91","marin/airline-fc72f21ee83dd4e3.mp3"
"cedar","airline","airline","","","1.248","0.0437791","0.33585858","0.335654","0.2508","0.8452","0.4028","91","cedar/airline-fc72f21ee83dd4e3.mp3"
"marin","airplane (plane)","airplane. Or, plane.","","","2.856","0.07024088","0.57942927","0.408533","0.0611","2.6074","0.2486","91","marin/airplane-plane-dae6e7d765cda494.mp3"
"cedar","airplane (plane)","airplane. Or, plane.","","","2.808","0.05906967","0.5140391","0.333118","0.1612","2.5175","0.2905","91","cedar/airplane-plane-dae6e7d765cda494.mp3"
"marin","airport","airport","","","1.968","0.0462054","0.29672599","0.198467","0.0539","0.6962","1.2718","91","marin/airport-0bbc45a52875049e.mp3"
"cedar","airport","airport","","","1.416","0.03657306","0.33934385","0.19902","0.6432","1.1557","0.2603","91","cedar/airport-0bbc45a52875049e.mp3"
"marin","alarm clock","alarm clock","","","1.8","0.05798856","0.40604016","0.333958","0.0543","0.9647","0.8353","35","marin/alarm-clock-339c127c938a213c.mp3"
"cedar","alarm clock","alarm clock","","","1.464","0.05211048","0.44821158","0.319843","0.2331","0.9856","0.4784","35","cedar/alarm-clock-339c127c938a213c.mp3"
"marin","alarm","alarm","","","1.32","0.05674731","0.48209277","0.413116","0.1058","0.758","0.562","109","marin/alarm-efc486847c1e78a0.mp3"
"cedar","alarm","alarm","","","1.92","0.05038111","0.51440513","0.219575","0.054","0.6038","1.3162","109","cedar/alarm-efc486847c1e78a0.mp3"
"marin","album","album","","","1.248","0.06938867","0.57905567","0.435981","0.0638","0.6609","0.5871","56","marin/album-14e52c0907eff242.mp3"
"cedar","album","album","","","1.152","0.04875002","0.49052843","0.346011","0.1742","0.651","0.501","56","cedar/album-14e52c0907eff242.mp3"
"marin","alike","alike","","","1.2","0.06194896","0.63176435","0.257865","0.1057","0.6047","0.5953","117","marin/alike-fae0dc89d98da363.mp3"
