"voice","displayText","expectedText","issues","error","durationSeconds","rms","peak","activeRatio","firstActiveSeconds","lastActiveSeconds","trailingSilenceSeconds","lessons","relativePath"
"marin","adult","adult","","","1.008","0.05668843","0.37866613","0.361194","0.1849","0.7352","0.2728","1","marin/adult-e3999446583a7b06.mp3"
"cedar","adult","adult","","","1.104","0.07025438","0.67805725","0.235186","0.0611","0.4528","0.6512","1","cedar/adult-e3999446583a7b06.mp3"
"marin","baby","baby","","","1.008","0.05646433","0.44912732","0.330357","0.1829","0.6313","0.3767","1","marin/baby-a08782fae2f01fce.mp3"
"cedar","baby","baby","","","1.056","0.05177837","0.4995583","0.285906","0.2204","0.6068","0.4492","1","cedar/baby-a08782fae2f01fce.mp3"
"marin","born","born","","","1.008","0.05769783","0.35069287","0.358548","0.3255","0.7241","0.2839","1","marin/born-8f242784fdf7f608.mp3"
"cedar","born","born","","","1.464","0.04898338","0.39215249","0.233792","0.1702","0.6259","0.8381","1","cedar/born-8f242784fdf7f608.mp3"
"marin","boy","boy","","","0.912","0.07977341","0.41523513","0.461349","0.0626","0.6054","0.3066","1","marin/boy-fa5b92bbeb99bc24.mp3"
"cedar","boy","boy","","","1.2","0.06647932","0.40286055","0.384618","0.0744","0.6548","0.5452","1","cedar/boy-fa5b92bbeb99bc24.mp3"
"marin","child","child","","","0.816","0.05537964","0.45053622","0.515497","0.1075","0.6469","0.1691","1","marin/child-2fa14f53e6b15cac.mp3"
"cedar","child","child","","","0.912","0.04840621","0.48010066","0.33459","0.064","0.5288","0.3832","1","cedar/child-2fa14f53e6b15cac.mp3"
"marin","childhood","childhood","","","2.16","0.0375059","0.27369264","0.258131","0.0653","0.8297","1.3303","1","marin/childhood-628b2ce220bf8ded.mp3"
"cedar","childhood","childhood","","","1.656","0.03819761","0.51716644","0.269059","0.5201","1.1601","0.4959","1","cedar/childhood-628b2ce220bf8ded.mp3"
"marin","female","female","","","1.968","0.04329644","0.30268806","0.199653","0.3903","0.9241","1.0439","1","marin/female-764a628e94e17ead.mp3"
"cedar","female","female","","","1.512","0.03731729","0.36221111","0.229167","0.2749","0.7917","0.7203","1","cedar/female-764a628e94e17ead.mp3"
"marin","girl","girl","","","1.008","0.06007632","0.43034345","0.357846","0.0768","0.5616","0.4464","1","marin/girl-2b6083e365cfff40.mp3"
"cedar","girl","girl","","","0.96","0.07058476","0.64456856","0.319466","0.0814","0.4648","0.4952","1","cedar/girl-2b6083e365cfff40.mp3"
"marin","guy","guy","","","0.816","0.06539638","0.52230221","0.487107","0.0705","0.5894","0.2266","1","marin/guy-3987b23e41b2d729.mp3"
"cedar","guy","guy","","","1.104","0.06533194","0.80974686","0.276853","0.0643","0.4766","0.6274","1","cedar/guy-3987b23e41b2d729.mp3"
"marin","kid","kid","","","0.864","0.06430449","0.44975036","0.268326","0.1069","0.4417","0.4223","1","marin/kid-6fc05d29d29c5335.mp3"
"cedar","kid","kid","silent-or-near-silent","","0.648","0.00001565","0.00013763","0","","","0.648","1","cedar/kid-6fc05d29d29c5335.mp3"
"marin","male","male","","","0.96","0.06528617","0.35061461","0.348741","0.1289","0.5892","0.3708","1","marin/male-762a7b05125b1b75.mp3"
"cedar","male","male","","","1.152","0.04006292","0.39176852","0.22253","0.3166","0.6413","0.5107","1","cedar/male-762a7b05125b1b75.mp3"
"marin","man","man","","","0.768","0.05536042","0.36404756","0.484429","0.0575","0.47","0.298","1","marin/man-83304d1598e1d186.mp3"
"cedar","man","man","","","1.152","0.05479626","0.52277404","0.434263","0.0716","0.7326","0.4194","1","cedar/man-83304d1598e1d186.mp3"
"marin","teenager","teenager","","","1.368","0.0634591","0.30935061","0.419941","0.1017","0.7795","0.5885","1","marin/teenager-12bcdd7dcefda1d5.mp3"
"cedar","teenager","teenager","","","1.464","0.04865728","0.42262572","0.27802","0.1582","0.6917","0.7723","1","cedar/teenager-12bcdd7dcefda1d5.mp3"
"marin","woman","woman","","","1.512","0.04740548","0.41900173","0.2628","0.2829","0.742","0.77","1","marin/woman-ad86ebe3cbd60b12.mp3"
"cedar","woman","woman","","","0.72","0.06781062","0.45020378","0.489265","0.0829","0.5287","0.1913","1","cedar/woman-ad86ebe3cbd60b12.mp3"
"marin","youth","youth","","","1.968","0.03391934","0.29391652","0.174215","0.4581","0.9843","0.9837","1","marin/youth-04a461cf203365d0.mp3"
"cedar","youth","youth","","","2.568","0.02809838","0.31199864","0.127799","0.2415","0.7429","1.8251","1","cedar/youth-04a461cf203365d0.mp3"
