family | 家人；家庭
father | 父親
mother | 母親
son | 兒子
daughter | 女兒
sister | 姐妹
brother | 兄弟
parents | 雙親
grandmother | 奶奶；外婆
grandfather | 爺爺；外公
uncle | 叔(伯)父；姑(姨)丈；舅舅
aunt | 伯母；舅(姑姨)媽；嬸嬸
cousin | 堂(表)兄弟姐妹
husband | 丈夫
wife | 妻子
relative | 親戚；親屬
Dr. | 醫生；博士
Mr. | 先生
Mrs. | 太太
Ms. | 女士
Miss | 小姐
sir | 先生
name | 名字
baby | 嬰兒
child | 孩子；兒童
kid | 小孩
boy | 男孩
girl | 女孩
man | 男人；人類
woman | 女人
classmate | 同班同學
friend | 朋友
student | 學生
teacher | 老師
cook | 廚師
police officer | 警察
doctor | 醫生；博士
nurse | 護士
singer | 歌手
farmer | 農夫
reporter | 記者
writer | 作者；作家
actor | 男演員
actress | 女演員
waiter | 男服務生
waitress | 女服務生
housewife | 家庭主婦
engineer | 工程師
businessman | 商人
salesman | 銷售員
world | 世界
country | 國家
America | 美國
China | 中國
Taiwan | 臺灣
R.O.C. | 中華民國
American | 美國人；美國的
Chinese | 中文；中國人
English | 英文；英國的
old | 老的
young | 年輕的
pretty | 漂亮的
beautiful | 美麗的
cute | 可愛的
handsome | 英俊的
ugly | 醜的
tall | 高的
short | 矮的
fat | 胖的
heavy | 重的
thin | 瘦的
slim | 苗條的
cool | 酷的
happy | 快樂的
nice | 好的
good | 好的
fine | 好的
bad | 壞的
bedroom | 臥室
bathroom | 浴室；廁所
study | 書房
living room | 客廳
dining room | 飯廳
kitchen | 廚房
apartment | 公寓
house | 房子
home | 家
room | 房間
door | 門
floor | 樓層；地板
gate | 大門
yard | 庭院
garden | 花園
balcony | 陽臺
bed | 床
chair | 椅子
couch | 長沙發
bench | 長椅
sofa | 沙發
wall | 牆壁
stair | 樓梯
table | 桌子
desk | 書桌
key | 鑰匙
fan | 電風扇；迷
light | 燈；輕（薄）的；淺色的
candle | 蠟燭
machine | 機器
camera | 照相機
computer | 電腦
telephone (phone) | 電話
cellphone | 手機
number | 數字
bakery | 麵包店
bank | 銀行；堤；岸
park | 公園
zoo | 動物園
farm | 農場
beach | 海灘
bookstore | 書店
factory | 工廠
hospital | 醫院
museum | 博物館
theater | 劇院；電影院
pool | 游泳池；水池
restaurant | 餐廳
library | 圖書館
fire station | 消防局
police station | 警察局
fast food restaurant | 速食餐廳
do / does | 做
have / has | 有
thank | 感謝
sleep | 睡覺
wake | 叫醒；醒來
take | 拿；帶領；搭乘
close | 關上
open | 打開
come | 回來；來到
go | 去
wait | 等
jump | 跳
find | 發現；找到
run | 跑；經營
shout | 喊叫
sit | 坐
buy | 買
stand | 站；忍受
cry | 哭
hurry | 快點
meet | 遇見
welcome | 歡迎
worry | 擔心
look | 看；看起來
watch | 觀看
listen | 聽
see | 看
fall | 掉落
follow | 跟隨；遵守
eat | 吃
leave | 離開；留下
prepare | 準備
blackboard | 黑板
chalk | 粉筆
glue | 膠水
notebook | 筆記本
ruler | 尺
pen | 筆；原子筆
pencil | 鉛筆
marker | 白板筆；色筆
clock | 時鐘
map | 地圖
picture | 圖畫
book | 書
eraser | 橡皮擦；板擦
paper | 紙（張）
workbook | 習作
dictionary | 字典
letter | 信件
postcard | 明信片
seat | 座位
envelope | 信封
glasses | 眼鏡
note | 便條；短籤；筆記
band | 樂團
drum | 鼓
guitar | 吉他
piano | 鋼琴
violin | 小提琴
club | 社團；俱樂部
card | 卡片；紙牌
game | 比賽；遊戲
course | 課程
subject | 學科
art | 美術
history | 歷史
math (mathematics) | 數學
music | 音樂
science | 科學
PE (Physical Education) | 體育
language | 語言
sport | 運動
badminton | 羽毛球
basketball | 籃球
baseball | 棒球
tennis | 網球
soccer | 足球
group | 團體；群
player | 運動員；選手；播放器
prize | 獎品；獎金
exercise | 運動；習題
count | 數數；計算
catch | 趕上；抓住
help | 幫忙
hike | 健行
jog | 慢跑
swim | 游泳
sing | 唱歌
dance | 跳舞
draw | 繪畫
paint | (用顏料) 畫；顏料；油漆
brush | 刷；刷子
like | 喜歡
love | 愛
join | 參加；加入
learn | 學習
study | 學習；研讀
ask | 問；要求
write | 寫
practice | 練習；實踐
read | 閱讀
speak | 說話；講
say | 說
talk | 講話；交談
month | 月
January | 一月
February | 二月
March | 三月
April | 四月
May | 五月
June | 六月
July | 七月
August | 八月
September | 九月
October | 十月
November | 十一月
December | 十二月
morning | 早晨；上午
noon | 中午
afternoon | 下午
evening | 傍晚；晚上
night | 晚上
Monday | 星期一
Tuesday | 星期二
Wednesday | 星期三
